household_id,timestamp,usage_m3,district,type,household_size,lat,lon,temperature,supply_node,feedback
H0000,2025-09-20 00:00:00,0.172,South,commercial,4,12.9163,80.211739,11.07,Node_1,
H0078,2025-09-20 00:00:00,0.058,East,residential,2,12.9379,80.206175,16.44,Node_5,
H0694,2025-09-20 00:00:00,0.129,East,residential,4,12.954313,80.213412,11.74,Node_9,
H0414,2025-09-20 00:00:00,0.162,West,residential,3,12.960831,80.195991,12.6,Node_2,
H0708,2025-09-20 00:00:00,0.117,West,residential,5,12.959994,80.165162,12.25,Node_6,
H0343,2025-09-20 01:00:00,0.078,North,residential,3,12.932914,80.27268,17.86,Node_3,
H0363,2025-09-20 01:00:00,0.104,Central,residential,4,12.959782,80.162494,12.55,Node_6,
H0429,2025-09-20 01:00:00,0.137,East,residential,4,12.977889,80.232994,11.46,Node_9,
H0686,2025-09-20 01:00:00,0.165,North,residential,4,12.905779,80.192464,18.61,Node_8,
H0223,2025-09-20 01:00:00,0.157,East,residential,2,12.928001,80.255237,15.63,Node_10,
H0157,2025-09-20 01:00:00,0.102,East,residential,2,12.975498,80.235878,12.86,Node_5,
H0033,2025-09-20 01:00:00,0.113,West,residential,3,12.901385,80.206477,13.12,Node_6,no water since yesterday evening
H0611,2025-09-20 01:00:00,0.18,East,residential,4,12.969232,80.194248,14.88,Node_7,
H0480,2025-09-20 01:00:00,0.161,North,residential,4,12.981993,80.158375,16.69,Node_2,
H0056,2025-09-20 01:00:00,0.08,West,residential,3,12.927377,80.249904,10.78,Node_6,
H0069,2025-09-20 01:00:00,0.078,West,residential,2,12.967247,80.216758,21.94,Node_10,
H0645,2025-09-20 02:00:00,0.128,East,residential,3,12.988968,80.198635,19.19,Node_9,
H0686,2025-09-20 02:00:00,0.166,North,residential,4,12.904215,80.191746,13.13,Node_5,
H0714,2025-09-20 02:00:00,0.059,North,residential,1,12.932879,80.228662,13.58,Node_9,
H0319,2025-09-20 02:00:00,0.042,West,residential,2,12.942328,80.209969,18.67,Node_3,
H0585,2025-09-20 03:00:00,0.189,North,residential,3,12.960376,80.225414,15.37,Node_3,
H0253,2025-09-20 03:00:00,0.192,Central,residential,2,12.970184,80.199999,11.69,Node_9,
H0018,2025-09-20 03:00:00,0.32,South,residential,5,12.935996,80.156855,10.64,Node_9,
H0369,2025-09-20 03:00:00,0.133,East,residential,3,12.950721,80.176978,17.79,Node_2,
H0463,2025-09-20 03:00:00,0.229,East,residential,4,12.953508,80.203069,17.43,Node_8,
H0100,2025-09-20 03:00:00,0.081,Central,residential,2,12.995672,80.228451,17.2,Node_3,
H0235,2025-09-20 03:00:00,0.01,North,residential,2,12.940706,80.21479,9.66,Node_3,
H0387,2025-09-20 03:00:00,0.043,West,residential,2,12.937384,80.169122,19.5,Node_7,
H0597,2025-09-20 03:00:00,0.137,North,residential,4,12.930017,80.203946,15.27,Node_2,
H0163,2025-09-20 03:00:00,0.124,South,residential,3,12.913332,80.252093,13.8,Node_6,
H0177,2025-09-20 03:00:00,0.125,East,residential,4,12.969848,80.230981,12.24,Node_6,
H0622,2025-09-20 04:00:00,0.186,West,residential,5,12.9519,80.161294,12.44,Node_10,
H0119,2025-09-20 04:00:00,0.171,South,residential,2,12.930847,80.188454,17.66,Node_1,
H0717,2025-09-20 04:00:00,0.061,East,residential,3,12.963503,80.218246,18.79,Node_3,
H0639,2025-09-20 04:00:00,0.128,North,residential,3,12.970204,80.149166,14.4,Node_4,
H0201,2025-09-20 04:00:00,0.164,South,residential,3,12.937702,80.208587,14.69,Node_8,
H0244,2025-09-20 04:00:00,0.299,North,residential,6,12.959883,80.190333,18.04,Node_8,uneven supply across district
H0678,2025-09-20 04:00:00,0.115,East,residential,2,12.953409,80.25262,8.19,Node_7,
H0579,2025-09-20 04:00:00,0.177,West,residential,4,12.960794,80.167671,14.33,Node_8,
H0556,2025-09-20 05:00:00,0.178,East,residential,3,12.947684,80.219188,14.88,Node_9,
H0586,2025-09-20 05:00:00,0.204,East,residential,4,12.939315,80.173792,15.65,Node_3,requests for improved water quality
H0136,2025-09-20 05:00:00,0.296,East,residential,5,12.934325,80.212318,12.5,Node_3,
H0155,2025-09-20 05:00:00,0.135,East,residential,3,12.942281,80.189983,11.83,Node_5,
H0589,2025-09-20 05:00:00,0.3,East,residential,4,12.961951,80.249241,13.66,Node_2,
H0669,2025-09-20 05:00:00,0.247,Central,residential,4,12.973897,80.247767,22.6,Node_2,
H0295,2025-09-20 05:00:00,0.266,West,residential,4,12.924162,80.163019,12.98,Node_6,
H0766,2025-09-20 05:00:00,0.279,North,commercial,3,12.99683,80.165481,11.62,Node_2,
H0673,2025-09-20 06:00:00,0.223,Central,residential,3,12.9471,80.152585,15.0,Node_3,requests for improved water quality
H0757,2025-09-20 06:00:00,0.14,East,residential,2,12.954991,80.171983,15.52,Node_7,
H0563,2025-09-20 06:00:00,0.294,North,commercial,4,12.966853,80.215785,13.19,Node_10,
H0369,2025-09-20 06:00:00,0.206,East,residential,3,12.951361,80.178363,13.44,Node_7,
H0585,2025-09-20 06:00:00,0.127,North,residential,3,12.958916,80.225717,20.52,Node_7,
H0214,2025-09-20 06:00:00,0.146,West,residential,1,12.946055,80.137754,13.61,Node_9,
H0492,2025-09-20 06:00:00,0.27,North,commercial,5,12.965403,80.200911,13.45,Node_4,
H0113,2025-09-20 06:00:00,0.108,Central,residential,3,12.947487,80.171227,15.74,Node_9,
H0289,2025-09-20 06:00:00,0.274,West,commercial,4,12.998358,80.212969,13.61,Node_3,
H0557,2025-09-20 06:00:00,0.298,West,residential,4,12.95052,80.196806,17.35,Node_5,
H0555,2025-09-20 06:00:00,0.208,East,residential,4,12.94233,80.196629,10.8,Node_4,
H0048,2025-09-20 06:00:00,0.24,West,residential,3,12.978043,80.180633,11.92,Node_1,
H0616,2025-09-20 07:00:00,0.083,South,residential,2,12.991962,80.218761,10.94,Node_10,
H0040,2025-09-20 07:00:00,0.211,North,residential,3,12.97499,80.188905,14.54,Node_1,
H0248,2025-09-20 07:00:00,0.128,Central,residential,2,12.890501,80.206823,15.15,Node_4,
H0097,2025-09-20 07:00:00,0.252,North,commercial,4,12.971197,80.167648,13.34,Node_9,
H0315,2025-09-20 07:00:00,0.183,South,residential,4,12.93356,80.233011,13.82,Node_9,
H0133,2025-09-20 07:00:00,0.151,South,residential,3,12.961155,80.193625,14.31,Node_4,
H0320,2025-09-20 07:00:00,0.343,North,residential,6,12.929179,80.241728,11.83,Node_3,
H0331,2025-09-20 08:00:00,0.309,East,residential,4,12.968509,80.237408,18.63,Node_6,tap water brown sometimes
H0756,2025-09-20 08:00:00,0.138,West,residential,2,13.026678,80.180461,10.02,Node_9,
H0556,2025-09-20 08:00:00,0.139,East,residential,3,12.944598,80.214921,12.65,Node_5,
H0316,2025-09-20 08:00:00,0.138,West,residential,3,12.949889,80.226145,16.17,Node_2,
H0410,2025-09-20 09:00:00,0.195,East,residential,3,12.93518,80.137801,11.24,Node_1,
H0109,2025-09-20 09:00:00,0.181,South,residential,4,12.929646,80.205488,12.76,Node_5,
H0673,2025-09-20 09:00:00,0.22,Central,residential,3,12.946889,80.151279,17.09,Node_4,requests for improved water quality
H0263,2025-09-20 09:00:00,0.256,East,residential,4,12.971064,80.218651,17.01,Node_6,
H0626,2025-09-20 09:00:00,0.349,West,residential,6,12.923216,80.2917,16.2,Node_7,
H0608,2025-09-20 09:00:00,0.193,South,residential,4,12.969521,80.228066,11.82,Node_5,
H0791,2025-09-20 09:00:00,0.214,South,commercial,4,12.978996,80.136603,9.66,Node_8,
H0783,2025-09-20 09:00:00,0.128,East,residential,2,12.95217,80.181505,16.64,Node_9,
H0181,2025-09-20 09:00:00,0.29,Central,commercial,1,12.963331,80.206744,16.96,Node_10,
H0032,2025-09-20 10:00:00,0.12,Central,residential,3,12.939954,80.218299,19.52,Node_10,
H0462,2025-09-20 10:00:00,0.191,West,commercial,3,12.939418,80.221974,18.39,Node_6,
H0021,2025-09-20 10:00:00,0.193,North,commercial,3,12.929956,80.191893,16.83,Node_6,
H0528,2025-09-20 10:00:00,0.222,West,residential,6,12.900683,80.224745,15.02,Node_9,
H0508,2025-09-20 10:00:00,0.16,South,residential,4,12.945696,80.175523,14.63,Node_1,
H0613,2025-09-20 10:00:00,0.05,East,residential,2,12.974518,80.215635,15.35,Node_9,
H0021,2025-09-20 10:00:00,0.224,North,commercial,3,12.93002,80.190408,19.13,Node_1,
H0031,2025-09-20 10:00:00,0.162,South,residential,2,12.92323,80.250284,16.8,Node_10,
